LOJA;NOME;INAUGURACAO;AREA_LOJA;ENDERECO;CIDADE;UF;REGIAO;PAIS
BOVG-PE;Boa Viagem;06/11/2020;1.456;Av. Professor Joao Medeiros, 139;Recife;PE;Nordeste;BRASIL
CCVE-PR;Cascavel;12/11/2020;801;Av. Brasil, 4254 - Centro;Cascavel;PR;Sul;BRASIL
DNTC-RS;Cristal;18/11/2020;886;Av. Diário de Notícias, 1500 ;Porto Alegre;RS;Sul;BRASIL
GRUP-SP;Guarulhos Pimentas;30/11/2020;496;Estrada Presidente Juscelino Kubitschek de Oliveira, 4414;Guarulhos;SP;Sudeste;BRASIL
NHBG-RS;Novo Hamburgo;05/12/2020;822;Rua Castro Alves 205;Novo Hamburgo;RS;Sul;BRASIL
LAUZ-SP;Lauzane Paulista;12/12/2020;489;Av. Direitos Humanos, 1436;São Paulo;SP;Sudeste;BRASIL
SOTT-SP;Sorocaba Tauste;17/12/2020;668;Av. General Carneiro, 1120;São Paulo;SP;Sudeste;BRASIL
CNOA-RS;Canoas;22/12/2020;893;Av. Getúlio Vargas, 6401;Canoas;RS;Sul;BRASIL
CPIC-SP;Carapicuíba;12/01/2021;625;Av Inocêncio Seráfico, 3375 - Vila Silva Ribeiro;São Paulo;SP;Sudeste;BRASIL
MAUA-SP;Shopping Mauá;20/01/2021;533;Av Governador Mário Covas Junior, Centro;Mauá;SP;Sudeste;BRASIL
AMER-SP;Americana;17/02/2021;811;Av. Paulista, 985;Americana;SP;Sudeste;BRASIL
FOZI-PR;Foz do Iguaçu;18/03/2021;736;Av. Paraná, 1270;Foz do Iguaçu;PR;Sul;BRASIL
TEOD-SP;Teodoro Sampaio;20/03/2021;566;Rua Teodoro Sampaio, 1424;São Paulo;SP;Sudeste;BRASIL
PMAS-TO;Palmas;30/04/2021;746;Q. 101 Sul Avenida LO 3, S/N;Palmas;TO;Norte;BRASIL
VISA-RJ;Vila Isabel;19/05/2021;780;Rua Teodoro da Silva, 668;Rio de Janeiro;RJ;Sudeste;BRASIL
CGUA-SP;Caraguatatuba;26/05/2021;577;Rua Vereador Antônio Cruz Arouca, 200;Caraguatatuba;SP;Sudeste;BRASIL
VRAO-SP;Vicente Rao;29/05/2021;490;Av. Professor Vicente Rao, 1700;São Paulo;SP;Sudeste;BRASIL
SERR-ES;Serra;03/06/2021;788;Av. Eldes Scherrer Souza, 566;Serra;ES;Sudeste;BRASIL
TRMS-SP;Shopping Trimais ;12/06/2021;414;Av. Tucuruvi, 248;São Paulo;SP;Sudeste;BRASIL
DJBA-AM;Djalma Batista;19/06/2021;979;Av. Djalma Batista, 3000;Manaus;AM;Norte;BRASIL
UBRB-MG;Uberaba;10/07/2021;712;Av. Leopoldino de Oliveira, 4001;Uberaba;MG;Sudeste;BRASIL
NTZN-RN;Natal Zona Norte;05/08/2021;832;Av. Dr. João Medeiros Filho, 1420;Natal;RN;Nordeste;BRASIL
ILHG-RJ;Ilha do Governador;10/08/2021;756;Estrada do Galeão 1770 - Jardim Carioca;Rio de Janeiro;RJ;Sudeste;BRASIL
BLUM-SC;Blumenau;17/08/2021;850;R. São Paulo, 1629 - Itoupava Seca;Blumenau;SC;Sul;BRASIL
NDTN-SP;Nordestina;21/08/2021;508;Av. Nordestina, 2740;São Paulo;SP;Sudeste;BRASIL
JFIR-SP;João Firmino;28/08/2021;823;Av. João Firmino, 342;São Bernardo do Campo;SP;Sudeste;BRASIL
BJDB-DF;Brasília Jardim Botânico;17/09/2021;539;Q. 1 Lote E - Av. Das Paineiras , S/N;Brasília;DF;Centro-Oeste;BRASIL
SMRE-SP;Sumaré;21/09/2021;769;Av. da Amizade, 2371;Sumaré;SP;Sudeste;BRASIL
PCCD-MG;Poços de Caldas;24/09/2021;752;Av. João Pinheiro, 711;Poços de Caldas;MG;Sudeste;BRASIL
JDIC-RJ;Jardim Icaraí;29/09/2021;539;R. Dr. Paulo César, 249 - Santa Rosa;Niterói;RJ;Sudeste;BRASIL
VGLV-SP;Vila Galvão;02/10/2021;790;R. Maria Primo de Jesus, 47/69;Guarulhos;SP;Sudeste;BRASIL
AGMN-PE;Agamenon Magalhães;09/10/2021;441;Av. Gov. Agamenon Magalhães, 3855;Recife;PE;Nordeste;BRASIL
VALP-GO;Shopping Val Paraíso;13/10/2021;609;Q. 1 Valparaíso Shopping, S/N;Valparaíso de Goiás;GO;Centro-Oeste;BRASIL
ITGU-SC;Shopping Itaguacu;30/10/2021;608;R. Gerôncio Thives, 1079;Florianópolis;SC;Sul;BRASIL
JABT-PE;Jaboatão Dos Guararapes;06/11/2021;719;Av. Ayrton Senna da Silva, 1485;Jaboatão dos Guararapes;PE;Nordeste;BRASIL
WSOA-CE;Washington Soares;09/11/2021;862;Av. Washington Soares, 2300;Fortaleza;CE;Nordeste;BRASIL
RPVG-SP;Presidente Vargas;13/11/2021;798;Av. Pres. Vargas, 2265;Ribeirão Preto;SP;Sudeste;BRASIL
JDBT-RJ;Jardim Botânico;19/11/2021;275;R. Jardim Botânico, 733;Rio de Janeiro;RJ;Sudeste;BRASIL
SHGR-RJ;Shopping Grande Rio;26/11/2021;600;R. Maria Soares Sendas, 111;São João de Meriti;RJ;Sudeste;BRASIL
ANGL-SP;Angélica;30/11/2021;325;Av Angélica, 2011;São Paulo;SP;Sudeste;BRASIL
PSMC-AL;Parque Shopping Maceió;07/12/2021;452;Av. Comendador Gustavo Paiva, 5945;Maceió;AL;Nordeste;BRASIL
GBSL-DF;Gilberto Salomão;11/12/2021;453;BL. F, Shis Qi 5 Conjunto 16, 5;Brasília;DF;Centro-Oeste;BRASIL
GVGC-SP;Giovanni Gronchi;15/12/2021;1.351;Av. Giovanni Gronchi, 3280;São Paulo;SP;Sudeste;BRASIL
PTBA-BA;Pituba;18/12/2021;437;Av. Manoel Dias da Silva, 1251;Salvador;BA;Nordeste;BRASIL
ITPT-SP;Itapetininga;21/12/2021;561;Rua Prudente de Moraes, 317;Itapetininga;SP;Sudeste;BRASIL
BRTJ-RJ;Extra Barra da Tijuca;11/01/2022;622;Av. das Américas, 1510;Rio de Janeiro;RJ;Sudeste;BRASIL
W3NT-DF;W3 Norte;18/01/2022;1.493;Comércio Residencial Norte, 502;Brasília;DF;Centro-Oeste;BRASIL
GAMA-DF;Gama Leste;26/01/2022;811;SIND QI 1 - Pte. Alta Norte, S/N;Brasília;DF;Centro-Oeste;BRASIL
TORS-PR;Torres;29/01/2022;958;Av. Com. Franco, 2958;Curitiba;PR;Sul;BRASIL
TQTP-AM;Torquato Tapajós;10/02/2022;907;Av Torquato Tapajós, 313 - Flores;Manaus;AM;Norte;BRASIL
SPAN-MT;Shopping Pantanal;12/02/2022;576;Av. Historiador Rubens de Mendonça, 3300;Cuiabá;MT;Centro-Oeste;BRASIL
PNMR-PE;Parnamirim;24/02/2022;848;Av. Dezessete de Agosto, 287;Recife;PE;Nordeste;BRASIL
EDFC-SP;Edgard Facó;12/03/2022;879;Av General Edgard Facó, 830 - Freguesia Do Ó;São Paulo;SP;Sudeste;BRASIL
GVDL-SP;Gastão Vidigal;16/03/2022;689;AV Dr Gastao Vidigal, 1555;São Paulo;SP;Sudeste;BRASIL
SZNO-SP;Shopping Suzano;31/03/2022;554;R Sete de Setembro, 555;Suzano;SP;Sudeste;BRASIL
SMOC-SP;Mooca Plaza Shopping;08/04/2022;555;Rua Cap. Pacheco e Chaves, 313;São Paulo;SP;Sudeste;BRASIL
SIND-MG;Shopping Independência;23/04/2022;415;Av. Presidente Itamar Franco, 3600;Juiz de Fora;MG;Sudeste;BRASIL
TRSN-PI;Teresina;18/05/2022;952;Av. João XXIII, 1176;Teresina;PI;Nordeste;BRASIL
RBFR-RN;Roberto Freire;21/05/2022;708;Avenida Engenheiro Roberto Freire, 20 - Capim Macio;Natal;RN;Nordeste;BRASIL
HVET-SP;Hospital Veterinário;10/10/2012;408;Av. Pacaembu, 1140;São Paulo;SP;Sudeste;BRASIL
